Company Name,Job Title,Job Description,Job Date,Scraping data from page
Turnkey Africa Kenya,Content Marketing Executive,"Turnkey Africa is a leading Pan-African insurance technology and services provider. We develop, supply and manage end-to-end insurance business software solutions and services for the insurance indust...",24 January,287.0
Strathmore University,Research Assistants,"Strathmore University is a Chartered University located in Nairobi, Kenya. It was the first multiracial and multi religious educational institution in English speaking Eastern Africa and more recently...",24 January,289.0
International Livestock Research Institute (ILRI),Research Associate II Reproductive Technology,The International Livestock Research Institute (ILRI) works to improve food security and reduce poverty in developing countries through research for better and more sustainable use of livestock. ILRI...,24 January,289.0
Turnkey Africa Kenya,Marketing Manager,"Turnkey Africa is a leading Pan-African insurance technology and services provider. We develop, supply and manage end-to-end insurance business software solutions and services for the insurance indust...",23 January,290.0
Fanisi HR Solutions,Operations Supervisor,Fanisi is a HR consulting and management company that guides enterprises in setting up management and development of their workforce. We support Small and Medium Enterprises to excel in improving the...,23 January,290.0
Chemonics International,Human Resource and Operations Director,"At Chemonics, we believe our mission of helping people live healthier, more productive, and more independent lives is driven by our commitment to service-service to our mission, to our beneficiaries,...",23 January,290.0
St. Lukes Orthopaedics & Trauma Hospital,Digital Marketing Officer,"St. Luke’s Orthopaedic and Trauma Hospital is an ultra-modern hospital started in the year 2012, after operating as a clinic and an orthopaedics supplier since year 2005.",23 January,291.0
Citi,IRAU Credit Risk Senior Analyst,"Citibank N.A. Kenya has been operating in Kenya since 1974 and has two branches in Nairobi and Mombasa, serving Corporate and Institutional clients. Citibank Kenya is the regional hub for the Citi Eas...",23 January,291.0
Corporate Staffing,Marketing Assistant,"Corporate Staffing Services is a leading recruitment agency in Kenya providing complete recruitment services.
In the last ten years we have been partners to local and foreign businesses looking to...",21 January,292.0
Open Capital Advisors,Analyst,"Open Capital Advisors is a management consulting and financial advisory firm that drives growth, enables investment, and builds markets across Africa. We help businesses, investors, development partners, and the public sector identify opportunities and deliver unique, impactful solutions. We blend our deep local market experience and global perspective with a customized approach.",21 January,292.0
Save the Children,Sponsorship Communications and Marketing Manager,"The Save the Children Fund, commonly known as Save the Children, is an international non-governmental organization that promotes children's rights, provides relief and helps support children in develo...",21 January,292.0
HomeBiogas,Credit Officer,"HomeBiogas is a world leader in developing groundbreaking and simple to use biogas systems, enabling people and businesses around the globe to turn their own organic waste into self-made clean energy.",20 January,294.0
Save the Children,PMO Analyst,"The Save the Children Fund, commonly known as Save the Children, is an international non-governmental organization that promotes children's rights, provides relief and helps support children in develo...",20 January,295.0
Catholic Relief,Field Research Associates,Catholic Relief Services (CRS) is an international non-governmental organization supporting relief and development work in over 99 countries around the world. CRS programs assist persons on the basis...,20 January,295.0
M-Kopa Solar,Marketing Officer,"M-KOPA’s mission is to make high quality energy affordable to everyone. OUR GROWTH SO FAR... M-KOPA has connected more than 400,000 homes in Kenya,Tanzania and Uganda to solar power with over 550 new homes being added every day.",20 January,295.0
SOS Children's Villages,Operations Manager (RRC),"SOS Children's Villages is an independent, non-governmental international development organization which has been working to meet the needs and protect the interests and rights of children since 1949.",19 January,296.0
Triggerise,Risk Data Analyst,"Triggerise is a non-profit that motivates users – primarily young women and adolescent girls – to make positive choices. We use nudges like reminders, discounts, in person and digital foll...",19 January,296.0
LVCT Health,Digital Marketing Consultant,"LVCT Health is an indigenous Kenyan non-governmental and not-for-profit organization established in 2001. We are driving Kenya towards HIV prevention, with an ultimate goal of reducing HIV infections...",19 January,296.0
Stellar Human Resource Solutions,3d Design Sales & Marketer,We are a Human Resource Management Consulting Company based in Nairobi Kenya providing a comprehensive range of Human Resources Solutions with your business needs and focus in mind.,19 January,296.0
